words	forms
размышление	размышление размышления размышления размышлений размышлению размышлениям размышление размышления размышлением размышлениями размышлении размышлениях
железо	железо железа железа желез железу железам железо железа железом железами железе железах
блондин	блондин блондины блондина блондинов блондину блондинам блондина блондинов блондином блондинами блондине блондинах
веер	веер веера веера вееров вееру веерам веер веера веером веерами веере веерах
полукруг	полукруг полукруги полукруга полукругов полукругу полукругам полукруг полукруги полукругом полукругами полукруге полукругах
ссылка	ссылка ссылки ссылки ссылок ссылке ссылкам ссылку ссылки ссылкой ссылкою ссылками ссылке ссылках
жесть	жесть жести жести жестей жести жестям жесть жести жестью жестями жести жестях
штаб	штаб штабы штаба штабов штабу штабам штаб штабы штабом штабами штабе штабах
писк	писк писки писка писков писку пискам писк писки писком писками писке писках
углеводород	углеводород углеводороды углеводорода углеводородов углеводороду углеводородам углеводород углеводороды углеводородом углеводородами углеводороде углеводородах
роспись	роспись росписи росписи росписей росписи росписям роспись росписи росписью росписями росписи росписях
дядька	дядька дядьки дядьки дядек дядьке дядькам дядьку дядек дядькой дядькою дядьками дядьке дядьках
пролетарий	пролетарий пролетарии пролетария пролетариев пролетарию пролетариям пролетария пролетариев пролетарием пролетариями пролетарии пролетариях
формула	формула формулы формулы формул формуле формулам формулу формулы формулой формулою формулами формуле формулах
хозяйка	хозяйка хозяйки хозяйки хозяек хозяйке хозяйкам хозяйку хозяек хозяйкой хозяйкою хозяйками хозяйке хозяйках
фаворит	фаворит фавориты фаворита фаворитов фавориту фаворитам фаворита фаворитов фаворитом фаворитами фаворите фаворитах
увольнение	увольнение увольнения увольнения увольнений увольнению увольнениям увольнение увольнения увольнением увольнениями увольнении увольнениях
ясли	ясли яслей яслям ясли яслями яслях
промышленность	промышленность промышленности промышленности промышленностей промышленности промышленностям промышленность промышленности промышленностью промышленностями промышленности промышленностях
стол	стол столы стола столов столу столам стол столы столом столами столе столах
сверстник	сверстник сверстники сверстника сверстников сверстнику сверстникам сверстника сверстников сверстником сверстниками сверстнике сверстниках
закладка	закладка закладки закладки закладок закладке закладкам закладку закладки закладкой закладкою закладками закладке закладках
дух	дух духи духа духов духу духам дух духи духом духами духе духах
локоть	локоть локти локтя локтей локтю локтям локоть локти локтем локтями локте локтях
наложение	наложение наложения наложения наложений наложению наложениям наложение наложения наложением наложениями наложении наложениях
спутник	спутник спутники спутника спутников спутнику спутникам спутник спутники спутником спутниками спутнике спутниках
дядя	дядя дяди дяди дядей дяде дядям дядю дядей дядей дядею дядями дяде дядях
карман	карман карманы кармана карманов карману карманам карман карманы карманом карманами кармане карманах
лох	лох лохи лоха лохов лоху лохам лох лохи лохом лохами лохе лохах
юбилей	юбилей юбилеи юбилея юбилеев юбилею юбилеям юбилей юбилеи юбилеем юбилеями юбилее юбилеях
частица	частица частицы частицы частиц частице частицам частицу частицы частицей частицею частицами частице частицах
огонь	огонь огни огня огней огню огням огонь огни огнём огнем огнями огне огнях
цифра	цифра цифры цифры цифр цифре цифрам цифру цифры цифрой цифрою цифрами цифре цифрах
путь	путь пути пути путей пути путям путь пути путём путем путями пути путях
завод	завод заводы завода заводов заводу заводам завод заводы заводом заводами заводе заводах
цензура	цензура цензуры цензуры цензур цензуре цензурам цензуру цензуры цензурой цензурою цензурами цензуре цензурах
век	век века века веков веку векам век века веком веками веке веках
половинка	половинка половинки половинки половинок половинке половинкам половинку половинки половинкой половинкою половинками половинке половинках
живот	живот животы живота животов животу животам живот животы животом животами животе животах
удобство	удобство удобства удобства удобств удобству удобствам удобство удобства удобством удобствами удобстве удобствах
крушение	крушение крушения крушения крушений крушению крушениям крушение крушения крушением крушениями крушении крушениях
стена	стена стены стены стен стене стенам стену стены стеной стеною стенами стене стенах
крыша	крыша крыши крыши крыш крыше крышам крышу крыши крышей крышею крышами крыше крышах
полоса	полоса полосы полосы полос полосе полосам полосу полосы полосой полосою полосами полосе полосах
возраст	возраст возрасты возраста возрастов возрасту возрастам возраст возрасты возрастом возрастами возрасте возрастах
поставщик	поставщик поставщики поставщика поставщиков поставщику поставщикам поставщика поставщиков поставщиком поставщиками поставщике поставщиках
амбиция	амбиция амбиции амбиции амбиций амбиции амбициям амбицию амбиции амбицией амбициею амбициями амбиции амбициях
лишение	лишение лишения лишения лишений лишению лишениям лишение лишения лишением лишениями лишении лишениях
издательство	издательство издательства издательства издательств издательству издательствам издательство издательства издательством издательствами издательстве издательствах
линейка	линейка линейки линейки линеек линейке линейкам линейку линейки линейкой линейкою линейками линейке линейках
хор	хор хоры хора хоров хору хорам хор хоры хором хорами хоре хорах
установление	установление установления установления установлений установлению установлениям установление установления установлением установлениями установлении установлениях
поэзия	поэзия поэзии поэзии поэзий поэзии поэзиям поэзию поэзии поэзией поэзиею поэзиями поэзии поэзиях
союзник	союзник союзники союзника союзников союзнику союзникам союзника союзников союзником союзниками союзнике союзниках
памятник	памятник памятники памятника памятников памятнику памятникам памятник памятники памятником памятниками памятнике памятниках
радикал	радикал радикалы радикала радикалов радикалу радикалам радикал радикалы радикалом радикалами радикале радикалах
